Laptop ID;Brand;Segment;Model;Price;CPU Brand;CPU Type;CPU Speed;HD Size;HD Type;RAM size;Graphic Card;Webcam;Cache Size;DVD;Wireless;LCD Inches;Bluetooth;OS;Weight
122;Toshiba;Satellite;L850-1P9;679;Intel;Intel Core i5-3230M;2.6;500;HDD;4;AMD Radeon HD7670M;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.3
123;Toshiba;Satellite;L850-1V7;777;Intel;Intel Core i7-3630QM;2.4;500;HDD;4;AMD Radeon HD7670M;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.3
124;Toshiba;Satellite;P845t-10H;874;Intel;Intel Core i5-3337U;1.8;500;HDD;4;NVIDIA GeForce GT630M;Yes;3;Yes;Yes;14.0;Yes;Windows 8;2.05
125;Toshiba;Satellite;P850-33J;969;Intel;Intel Core i7-3630QM;2.4;1000;HDD;8;NVIDIA GeForce GT630M;Yes;6;Yes;Yes;15.6;Yes;Windows 8;2.66
126;Toshiba;Satellite;Z930-154;969;Intel;Intel Core i5-3337U;1.8;128;SSD;4;Intel HD Graphics 4000;Yes;6;No;Yes;13.3;No;Windows 8;1.12
127;Toshiba;Satellite;U940-11R;582;Intel;Intel Core i3-3227U;1.9;500;HDD;4;Intel HD Graphics 4000;Yes;3;Yes;Yes;14.0;Yes;Windows 8;1.72
128;Toshiba;Satellite;U840t-108;874;Intel;Intel Core i5-3337U;1.8;128;SSD;6;Intel HD Graphics 4000;Yes;4;No;Yes;14.0;Yes;Windows 8;1.7
129;Toshiba;Satellite;U840W-10C;1165;Intel;Intel Core i5-3317U;1.7;532;HDD,SSD;4;Intel HD Graphics 4000;Yes;4;No;Yes;14.4;Yes;Windows 8;1.52
130;Toshiba;Satellite;U920t-10V;1263;Intel;Intel Core i5-3337U;1.8;256;SSD;4;Intel HD Graphics 4000;Yes;6;No;Yes;12.5;Yes;Windows 8;1.52
131;Toshiba;Satellite Pro;C850-1H0;384;Intel;Celeron 1000M;1.8;500;HDD;4;Intel HD Graphics;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.3
132;Toshiba;Satellite Pro;C850-1LC;530;Intel;Intel Core i3-2348M;2.3;500;HDD;4;Intel HD Graphics 3000;Yes;2;Yes;Yes;15.6;Yes;Windows 7;2.3
133;Toshiba;Satellite Pro;C850-1G4;797;Intel;Intel Core i5-3230M;2.6;500;HDD;8;AMD Radeon HD7610M;Yes;2;Yes;Yes;15.6;Yes;Windows 7;2.3
134;Toshiba;Satellite Pro;C870-1CJ;894;Intel;Intel Core i5-3230M;2.6;750;HDD;8;AMD Radeon HD7610M;Yes;3;Yes;Yes;17.3;Yes;Windows 7;2.6
135;Toshiba;Portege;R930-17M;850;Intel;Intel Core i3-3120M;2.5;500;HDD;4;Intel HD Graphics 4000;Yes;4;No;Yes;13.3;Yes;Windows 8;1.5
136;Toshiba;Portege;Z930-128;889;Intel;Intel Core i3-3217U;1.8;128;SSD;4;Intel HD Graphics 4000;Yes;4;No;Yes;13.3;Yes;Windows 8;1.12
137;Toshiba;Portege;Z830-10Q;880;Intel;Intel Core i5-2557M;1.7;128;SSD;6;Intel HD Graphics 3000;Yes;4;No;Yes;13.3;No;Windows 8;1.12
138;Toshiba;Portege;Z930-14M;1059;Intel;Intel Core i3-3227U;1.9;128;SSD;4;Intel HD Graphics 4000;Yes;4;No;Yes;13.3;Yes;Windows 8;1.12
139;Toshiba;Portege;R930-17W;1330;Intel;Intel Core i7-3540M;3.0;500;HDD;8;Intel HD Graphics 4000;Yes;4;No;Yes;13.3;Yes;Windows 8;1.5
140;Toshiba;Portege;Z930-14L;1808;Intel;Intel Core i7-3687U;2.1;256;SSD;8;Intel HD Graphics 4000;Yes;6;No;Yes;13.3;Yes;Windows 8;1.12
141;Toshiba;Portege;R930-17U;963;Intel;Intel Core i5-3230M;2.6;500;HDD;4;Intel HD Graphics 4000;Yes;4;No;Yes;13.3;Yes;Windows 8;1.5
142;Toshiba;Portege;Z930-10F;1335;Intel;Intel Core i7-3667U;2.0;128;SSD;8;Intel HD Graphics 4000;Yes;4;No;Yes;13.3;Yes;Windows 8;1.12
143;Toshiba;Tecra;R950-1K5;795;Intel;Intel Core i3-3120M;2.5;500;HDD;4;Intel HD Graphics 4000;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.49
144;Toshiba;Tecra;R950-185;835;Intel;Intel Core i5-3230M;2.6;500;HDD;4;Intel HD Graphics 4000;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.49
145;Toshiba;Tecra;R940-1KW;909;Intel;Intel Core i5-3230M;2.6;500;HDD;4;Intel HD Graphics 4000;Yes;3;Yes;Yes;14.0;Yes;Windows 8;2.2
146;Toshiba;Tecra;R940-1GN;1094;Intel;Intel Core i5-3340M;2.7;500;HDD;4;Intel HD Graphics 4000;Yes;3;Yes;Yes;14.0;Yes;Windows 8;2.2
147;Toshiba;Tecra;R950-186;1312;Intel;Intel Core i7-3540M;3.0;500;HDD;8;AMD Radeon HD7570M;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.49
148;Toshiba;Tecra;R940-1GP;1312;Intel;Intel Core i7-3540M;3.0;500;HDD;8;AMD Radeon HD7570M;Yes;4;Yes;Yes;14.0;Yes;Windows 8;2.2
