Laptop ID;Brand;Segment;Model;Price;CPU Brand;CPU Type;CPU Speed;HD Size;HD Type;RAM size;Graphic Card;Webcam;Cache Size;DVD;Wireless;LCD Inches;Bluetooth;OS;Weight
77;HP;Sleekbook;15-B105sp;549;AMD;AMD Quad-Core A8-4555M;1.6;500;HDD;4;AMD Radeon HD8550M;Yes;2;Yes;Yes;15.6;Yes;Windows 8;1.9
78;HP;Sleekbook;15-b112sp;590;Intel;Intel Core i3-3227U;1.9;500;HDD;4;NVIDIA GeForce GT630M 2GB;Yes;2;Yes;Yes;15.6;Yes;Windows 8;1.9
79;HP;Sleekbook;14-b100sp;590;Intel;Intel Core i3-2375M;1.5;500;HDD;6;NVIDIA GeForce GT630M 2GB;Yes;2;Yes;Yes;14.0;Yes;Windows 8;1.9
80;HP;Sleekbook;15-B101sp;623;Intel;Intel Core i3-3227U;1.9;500;HDD;4;NVIDIA GeForce GT630M 2GB;Yes;2;Yes;Yes;15.6;Yes;Windows 8;1.9
81;HP;Sleekbook;15-B102sp;702;Intel;Intel Core i5-3337U;1.8;500;HDD;6;NVIDIA GeForce GT630M 2GB;Yes;2;Yes;Yes;15.6;Yes;Windows 8;1.9
82;HP;Sleekbook;15-b113sp;702;Intel;Intel Core i5-3337U;1.8;500;HDD;6;NVIDIA GeForce GT630M 2GB;Yes;2;Yes;Yes;15.6;Yes;Windows 8;1.9
83;HP;Sleekbook;15-b115sp;802;Intel;Intel Core i5-3337U;1.8;500;HDD;4;NVIDIA GeForce GT630M 2GB;Yes;4;Yes;Yes;17.3;Yes;Windows 8;2.1
84;HP;Ultrabook;15-B043sp;717;Intel;Intel Core i5-3317U;1.7;352;HDD,SSD;4;NVIDIA GeForce GT630M;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.1
85;HP;Ultrabook;6-1020SP;1067;Intel;Intel Core i5-3317U;1.7;128;SSD;4;AMD Radeon HD7670M;Yes;3;Yes;Yes;15.6;Yes;Windows 7;2.15
86;Samsung;Serie NP;NP270E5E-K01PT;430;Intel;Celeron 847;1.1;500;HDD;4;Intel HD Graphics 4000;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.2
87;Samsung;Serie NP;NP270E5E-X02PT;753;Intel;Intel Core i5-3230M;2.6;750;HDD;8;NVIDIA GeForce GT710M;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.2
88;Samsung;Serie NP;NP350V5C-A02PT;659;Intel;Intel Core i5-3210M;2.5;750;HDD;6;Intel HD Graphics 4000;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.33
89;Samsung;Serie NP;NP350V5C-S07PT;709;Intel;Intel Core i5-3210M;2.5;500;HDD;6;AMD Radeon HD7670M;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.33
90;Samsung;Serie NP;NP350V5C-S06PT;855;Intel;Intel Core i7-3630QM;2.4;1000;HDD;8;AMD Radeon HD7670M;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.33
